Date;Country/Region;Confirmed;Deaths;Recovered;Active;New cases;New deaths;New recovered;new_tests;total_tests;total_vaccinations;people_vaccinated;people_fully_vaccinated;new_vaccinations
2/24/2020;Bahrain;1;0;0;1;1;0;0;;;;;;
2/25/2020;Bahrain;23;0;0;23;22;0;0;;;;;;
2/26/2020;Bahrain;33;0;0;33;10;0;0;;;;;;
2/27/2020;Bahrain;33;0;0;33;0;0;0;;;;;;
2/28/2020;Bahrain;36;0;0;36;3;0;0;;;;;;
2/29/2020;Bahrain;41;0;0;41;5;0;0;;;;;;
3/1/2020;Bahrain;47;0;0;47;6;0;0;;;;;;
3/2/2020;Bahrain;49;0;0;49;2;0;0;;;;;;
3/3/2020;Bahrain;49;0;0;49;0;0;0;;;;;;
3/4/2020;Bahrain;52;0;0;52;3;0;0;;;;;;
3/5/2020;Bahrain;55;0;0;55;3;0;0;;5334;;;;
3/6/2020;Bahrain;60;0;4;56;5;0;4;;;;;;
3/7/2020;Bahrain;85;0;4;81;25;0;0;;6420;;;;
3/8/2020;Bahrain;85;0;4;81;0;0;0;;;;;;
3/9/2020;Bahrain;95;0;14;81;10;0;10;;7830;;;;
3/10/2020;Bahrain;110;0;22;88;15;0;8;524;8354;;;;
3/11/2020;Bahrain;195;0;35;160;85;0;13;456;8810;;;;
3/12/2020;Bahrain;195;0;35;160;0;0;0;232;9042;;;;
3/13/2020;Bahrain;195;0;44;151;0;0;9;;;;;;
3/14/2020;Bahrain;210;0;44;166;15;0;0;;;;;;
3/15/2020;Bahrain;214;0;60;154;4;0;16;;;;;;
3/16/2020;Bahrain;214;1;77;136;0;1;17;;12131;;;;
3/17/2020;Bahrain;228;1;81;146;14;0;4;1422;13553;;;;
3/18/2020;Bahrain;256;1;88;167;28;0;7;;;;;;
3/19/2020;Bahrain;278;1;100;177;22;0;12;;;;;;
3/20/2020;Bahrain;285;1;100;184;7;0;0;;19098;;;;
3/21/2020;Bahrain;305;1;125;179;20;0;25;;;;;;
3/22/2020;Bahrain;334;2;149;183;29;1;24;;;;;;
3/23/2020;Bahrain;377;2;149;226;43;0;0;;25169;;;;
3/24/2020;Bahrain;392;3;177;212;15;1;28;;;;;;
3/25/2020;Bahrain;419;4;177;238;27;1;0;;;;;;
3/26/2020;Bahrain;458;4;204;250;39;0;27;;29533;;;;
3/27/2020;Bahrain;466;4;227;235;8;0;23;;;;;;
3/28/2020;Bahrain;476;4;265;207;10;0;38;;;;;;
3/29/2020;Bahrain;499;4;272;223;23;0;7;;31895;;;;
3/30/2020;Bahrain;515;4;279;232;16;0;7;701;32596;;;;
3/31/2020;Bahrain;567;4;295;268;52;0;16;;;;;;
4/1/2020;Bahrain;569;4;337;228;2;0;42;;;;;;
4/2/2020;Bahrain;643;4;381;258;74;0;44;;;;;;
4/3/2020;Bahrain;672;4;382;286;29;0;1;;37996;;;;
4/4/2020;Bahrain;688;4;423;261;16;0;41;1260;39256;;;;
4/5/2020;Bahrain;700;4;431;265;12;0;8;5130;44386;;;;
4/6/2020;Bahrain;756;4;458;294;56;0;27;3298;47684;;;;
4/7/2020;Bahrain;811;5;458;348;55;1;0;2443;50127;;;;
4/8/2020;Bahrain;823;5;477;341;12;0;19;2677;52804;;;;
4/9/2020;Bahrain;887;5;519;363;64;0;42;2292;55096;;;;
4/10/2020;Bahrain;925;6;539;380;38;1;20;2585;57681;;;;
4/11/2020;Bahrain;1040;6;555;479;115;0;16;3025;60706;;;;
4/12/2020;Bahrain;1136;6;558;572;96;0;3;3267;63973;;;;
4/13/2020;Bahrain;1361;6;591;764;225;0;33;3354;67327;;;;
4/14/2020;Bahrain;1528;7;645;876;167;1;54;3486;70813;;;;
4/15/2020;Bahrain;1671;7;663;1001;143;0;18;2459;73272;;;;
4/16/2020;Bahrain;1700;7;703;990;29;0;40;3672;76944;;;;
4/17/2020;Bahrain;1740;7;725;1008;40;0;22;2668;79612;;;;
4/18/2020;Bahrain;1773;7;755;1011;33;0;30;2956;82568;;;;
4/19/2020;Bahrain;1881;7;759;1115;108;0;4;4164;86732;;;;
4/20/2020;Bahrain;1907;7;769;1131;26;0;10;3575;90307;;;;
4/21/2020;Bahrain;1973;7;784;1182;66;0;15;4073;94380;;;;
4/22/2020;Bahrain;2027;7;1026;994;54;0;242;3416;97796;;;;
4/23/2020;Bahrain;2217;8;1082;1127;190;1;56;2235;100031;;;;
4/24/2020;Bahrain;2518;8;1113;1397;301;0;31;5334;105365;;;;
4/25/2020;Bahrain;2588;8;1160;1420;70;0;47;5042;110407;;;;
4/26/2020;Bahrain;2647;8;1189;1450;59;0;29;3703;114110;;;;
4/27/2020;Bahrain;2723;8;1218;1497;76;0;29;3687;117797;;;;
4/28/2020;Bahrain;2811;8;1310;1493;88;0;92;3909;121706;;;;
4/29/2020;Bahrain;2921;8;1455;1458;110;0;145;5199;126905;;;;
4/30/2020;Bahrain;3040;8;1500;1532;119;0;45;2789;129694;;;;
5/1/2020;Bahrain;3170;8;1555;1607;130;0;55;4388;134082;;;;
5/2/2020;Bahrain;3284;8;1568;1708;114;0;13;4196;138278;;;;
5/3/2020;Bahrain;3383;8;1718;1657;99;0;150;5877;144155;;;;
5/4/2020;Bahrain;3533;8;1744;1781;150;0;26;5431;149586;;;;
5/5/2020;Bahrain;3720;8;1762;1950;187;0;18;5915;155501;;;;
5/6/2020;Bahrain;3934;8;1860;2066;214;0;98;4840;160341;;;;
5/7/2020;Bahrain;4199;8;2000;2191;265;0;140;6037;166378;;;;
5/8/2020;Bahrain;4444;8;2028;2408;245;0;28;5780;172158;;;;
5/9/2020;Bahrain;4774;8;2055;2711;330;0;27;6195;178353;;;;
5/10/2020;Bahrain;4941;8;2070;2863;167;0;15;5676;184029;;;;
5/11/2020;Bahrain;5236;8;2152;3076;295;0;82;6751;190780;;;;
5/12/2020;Bahrain;5531;9;2192;3330;295;1;40;7118;197898;;;;
5/13/2020;Bahrain;5816;10;2205;3601;285;1;13;7672;205570;;;;
5/14/2020;Bahrain;6198;10;2353;3835;382;0;148;5557;211127;;;;
5/15/2020;Bahrain;6583;12;2640;3931;385;2;287;11415;222542;;;;
5/16/2020;Bahrain;6747;12;2762;3973;164;0;122;7646;230188;;;;
5/17/2020;Bahrain;6956;12;2910;4034;209;0;148;6640;236828;;;;
5/18/2020;Bahrain;7184;12;2931;4241;228;0;21;6203;243031;;;;
5/19/2020;Bahrain;7532;12;2952;4568;348;0;21;5174;248205;;;;
5/20/2020;Bahrain;7888;12;3568;4308;356;0;616;7428;255633;;;;
5/21/2020;Bahrain;8174;12;3873;4289;286;0;305;;;;;;
5/22/2020;Bahrain;8414;12;4096;4306;240;0;223;;269179;;;;
5/23/2020;Bahrain;8802;13;4465;4324;388;1;369;7373;276552;;;;
5/24/2020;Bahrain;9138;14;4587;4537;336;1;122;4652;281204;;;;
5/25/2020;Bahrain;9171;14;4753;4404;33;0;166;2680;283884;;;;
5/26/2020;Bahrain;9366;14;4938;4414;195;0;185;2339;286223;;;;
5/27/2020;Bahrain;9692;15;5152;4525;326;1;214;4904;291127;;;;
5/28/2020;Bahrain;10052;15;5419;4618;360;0;267;6746;297873;;;;
5/29/2020;Bahrain;10449;15;5700;4734;397;0;281;6306;304179;;;;
5/30/2020;Bahrain;10793;17;5826;4950;344;2;126;5394;309573;;;;
5/31/2020;Bahrain;11398;19;6673;4706;605;2;847;7234;316807;;;;
6/1/2020;Bahrain;11871;19;7070;4782;473;0;397;6355;323162;;;;
6/2/2020;Bahrain;12311;19;7407;4885;440;0;337;7571;330733;;;;
6/3/2020;Bahrain;12815;20;7410;5385;504;1;3;7040;337773;;;;
6/4/2020;Bahrain;13296;21;7728;5547;481;1;318;7564;345337;;;;
6/5/2020;Bahrain;13835;22;8585;5228;539;1;857;8785;354122;;;;
6/6/2020;Bahrain;14383;24;9056;5303;548;2;471;7254;361376;;;;
6/7/2020;Bahrain;14763;26;9468;5269;380;2;412;5680;367056;;;;
6/8/2020;Bahrain;15417;27;10326;5064;654;1;858;7306;374362;;;;
6/9/2020;Bahrain;15731;29;10606;5096;314;2;280;3873;378235;;;;
6/10/2020;Bahrain;16200;31;11109;5060;469;2;503;7899;386134;;;;
6/11/2020;Bahrain;16667;34;11487;5146;467;3;378;7776;393910;;;;
6/12/2020;Bahrain;17269;36;11903;5330;602;2;416;9126;403036;;;;
6/13/2020;Bahrain;17713;37;12191;5485;444;1;288;7806;410842;;;;
6/14/2020;Bahrain;18227;42;12818;5367;514;5;627;7571;418413;;;;
6/15/2020;Bahrain;19013;46;13267;5700;786;4;449;6779;425192;;;;
6/16/2020;Bahrain;19553;47;13866;5640;540;1;599;12888;438080;;;;
6/17/2020;Bahrain;19961;49;14185;5727;408;2;319;;;;;;
6/18/2020;Bahrain;20430;55;14696;5679;469;6;511;;454368;;;;
6/19/2020;Bahrain;20916;57;15287;5572;486;2;591;;;;;;
6/20/2020;Bahrain;21331;60;15790;5481;415;3;503;;470409;;;;
6/21/2020;Bahrain;21764;63;16419;5282;433;3;629;;;;;;
6/22/2020;Bahrain;22407;65;16862;5480;643;2;443;;485715;;;;
6/23/2020;Bahrain;23062;67;17450;5545;655;2;588;;;;;;
6/24/2020;Bahrain;23570;69;17977;5524;508;2;527;;494028;;;;
6/25/2020;Bahrain;24081;71;18501;5509;511;2;524;8735;502763;;;;
6/26/2020;Bahrain;24805;73;19137;5595;724;2;636;8695;511458;;;;
6/27/2020;Bahrain;25267;78;19781;5408;462;5;644;9643;521101;;;;
6/28/2020;Bahrain;25705;83;20517;5105;438;5;736;8141;529242;;;;
6/29/2020;Bahrain;26239;84;20928;5227;534;1;411;7274;536516;;;;
6/30/2020;Bahrain;26758;87;21331;5340;519;3;403;8609;545125;;;;
7/1/2020;Bahrain;27414;92;21948;5374;656;5;617;9114;554239;;;;
7/2/2020;Bahrain;27837;94;22583;5160;423;2;635;10126;564365;;;;
7/3/2020;Bahrain;28410;95;23318;4997;573;1;735;9740;574105;;;;
7/4/2020;Bahrain;28857;96;23959;4802;447;1;641;9965;584070;;;;
7/5/2020;Bahrain;29367;97;24649;4621;510;1;690;18081;602151;;;;
7/6/2020;Bahrain;29821;98;25178;4545;454;1;529;9945;612096;;;;
7/7/2020;Bahrain;30321;98;25570;4653;500;0;392;;;;;;
7/8/2020;Bahrain;30931;98;26073;4760;610;0;503;;630753;;;;
7/9/2020;Bahrain;31528;103;26520;4905;597;5;447;;;;;;
7/10/2020;Bahrain;32039;104;27213;4722;511;1;693;;640219;;;;
7/11/2020;Bahrain;32470;104;27828;4538;431;0;615;8801;649020;;;;
7/12/2020;Bahrain;32941;108;28425;4408;471;4;597;7639;656659;;;;
7/13/2020;Bahrain;33476;109;29099;4268;535;1;674;9589;666248;;;;
7/14/2020;Bahrain;34078;111;29753;4214;602;2;654;9203;675451;;;;
7/15/2020;Bahrain;34560;117;30320;4123;482;6;567;9867;685318;;;;
7/16/2020;Bahrain;35084;121;30809;4154;524;4;489;8221;693539;;;;
7/17/2020;Bahrain;35473;124;31188;4161;389;3;379;9463;703002;;;;
7/18/2020;Bahrain;36004;124;31765;4115;531;0;577;7684;710686;;;;
7/19/2020;Bahrain;36422;126;32372;3924;418;2;607;7037;717723;;;;
7/20/2020;Bahrain;36936;128;32965;3843;514;2;593;8417;726140;;;;
7/21/2020;Bahrain;37316;129;33455;3732;380;1;490;18554;744694;;;;
7/22/2020;Bahrain;37637;130;33894;3613;321;1;439;;;;;;
7/23/2020;Bahrain;37996;134;34412;3450;359;4;518;;760733;;;;
7/24/2020;Bahrain;38458;136;34826;3496;462;2;414;;;;;;
7/25/2020;Bahrain;38747;137;35205;3405;289;1;379;;780081;;;;
7/26/2020;Bahrain;39131;140;35689;3302;384;3;484;;;;;;
7/27/2020;Bahrain;39482;141;36110;3231;351;1;421;;798799;;;;
7/28/2020;Bahrain;39921;141;36531;3249;439;0;421;9477;808276;;;;
7/29/2020;Bahrain;40311;144;36920;3247;390;3;389;9332;817608;;;;
7/30/2020;Bahrain;40755;146;37357;3252;444;2;437;9064;826672;;;;
7/31/2020;Bahrain;40982;147;37840;2995;227;1;483;4326;830998;;;;
8/1/2020;Bahrain;41190;147;38211;2832;208;0;371;4569;835567;;;;
8/2/2020;Bahrain;41536;147;38666;2723;346;0;455;7425;842992;;;;
8/3/2020;Bahrain;41835;150;39007;2678;299;3;341;7656;850648;;;;
8/4/2020;Bahrain;42132;151;39335;2646;297;1;328;7601;858249;;;;
8/5/2020;Bahrain;42514;154;39576;2784;382;3;241;;;;;;
8/6/2020;Bahrain;42889;156;39945;2788;375;2;369;;867534;;;;
8/7/2020;Bahrain;43307;159;40276;2872;418;3;331;9166;876700;;;;
8/8/2020;Bahrain;43629;161;40549;2919;322;2;273;9395;886095;;;;
8/9/2020;Bahrain;44011;162;40967;2882;382;1;418;6831;892926;;;;
8/10/2020;Bahrain;44397;163;41209;3025;386;1;242;9133;902059;;;;
8/11/2020;Bahrain;44804;165;41504;3135;407;2;295;10052;912111;;;;
8/12/2020;Bahrain;45264;166;41836;3262;460;1;332;21651;933762;;;;
8/13/2020;Bahrain;45726;167;42180;3379;462;1;344;;;;;;
8/14/2020;Bahrain;46052;168;42469;3415;326;1;289;;944798;;;;
8/15/2020;Bahrain;46430;170;42806;3454;378;2;337;9394;954192;;;;
8/16/2020;Bahrain;46835;170;43128;3537;405;0;322;8142;962334;;;;
8/17/2020;Bahrain;47185;173;43529;3483;350;3;401;9669;972003;;;;
8/18/2020;Bahrain;47581;175;43921;3485;396;2;392;9205;981208;;;;
8/19/2020;Bahrain;47950;178;44278;3494;369;3;357;19579;1000787;;;;
8/20/2020;Bahrain;48303;179;44628;3496;353;1;350;;;;;;
8/21/2020;Bahrain;48661;181;45166;3314;358;2;538;;1011805;;;;
